Chat,Label,Language
Let me know when you're free.,0,English
I need to buy groceries.,0,English
Do you have smoke up?,1,English
Can you score me some diazepam?,1,English
Let's have coffee sometime.,0,English
What's your plan for the weekend?,0,English
I need smoke up for tonight.,1,English
Can you bring pot to the party?,1,English
Let me know when you're free.,0,English
What are you doing?,0,English
Let's meet tomorrow at 4 PM.,0,English
I'll call you later.,0,English
Can we reschedule the meeting?,0,English
What are you doing?,0,English
At school,0,English
I need to buy groceries.,0,English
What are you doing?,0,English
Smack,1,English
Can we reschedule the meeting?,0,English
Have you watched the new movie?,0,English
I'll call you later.,0,English
What's your plan for the weekend?,0,English
Have you watched the new movie?,0,English
What are you doing?,0,English
What's the weather like today?,0,English
"Bro, maal like ecstasy available?",1,English
Can you arrange some dots?,1,English
Let's have coffee sometime.,0,English
Can you score me some stoned?,1,English
Did you finish your homework?,0,English
Can we reschedule the meeting?,0,English
What's the weather like today?,0,English
Let’s eat,0,English
I need mary jane for tonight.,1,English
I need to buy groceries.,0,English
What's the weather like today?,0,English
Speed,1,English
Hook me up with eight ball if possible.,1,English
Did you finish your homework?,0,English
What are you doing?,0,English
"Bro, any idea where to get eight ball?",1,English
Any good dealer for horse?,1,English
Have you watched the new movie?,0,English
I'll call you later.,0,English
What are you doing?,0,English
Glass,1,English
I'll call you later.,0,English
Are you coming to the party?,0,English
"I'm at the station, where are you?",0,English
Can we reschedule the meeting?,0,English
Let me know when you're free.,0,English
I need to buy groceries.,0,English
"I'm at the station, where are you?",0,English
What's the weather like today?,0,English
Can we reschedule the meeting?,0,English
Did you finish your homework?,0,English
Are you coming to the party?,0,English
Have you watched the new movie?,0,English
What's the weather like today?,0,English
"I'm at the station, where are you?",0,English
Have you watched the new movie?,0,English
"Arrey yaar, do you have downers?",1,English
How is your family?,0,English
Can you score me some pot?,1,English
How was your day?,0,English
"Bro, any idea where to get brown sugar?",1,English
Let's meet tomorrow at 2 PM.,0,English
Let's meet tomorrow at 2 PM.,0,English
Let me know when you're free.,0,English
Can we reschedule the meeting?,0,English
I need to buy groceries.,0,English
Let's meet tomorrow at 4 PM.,0,English
Let's have coffee sometime.,0,English
"Arrey yaar, do you have adderall?",1,English
Have you watched the new movie?,0,English
I need to buy groceries.,0,English
Do you have crystal?,1,English
I'll call you later.,0,English
How was your day?,0,English
Let's have coffee sometime.,0,English
"I'm at the station, where are you?",0,English
Need spliff for the party.,1,English
Stash,1,English
Need og kush for the party.,1,English
Let's have coffee sometime.,0,English
Let me know when you're free.,0,English
"Bro, any idea where to get lsd?",1,English
Let's meet tomorrow at 3 PM.,0,English
Let's have coffee sometime.,0,English
What's your plan for the weekend?,0,English
Did you finish your homework?,0,English
What's your plan for the weekend?,0,English
Let's meet tomorrow at 8 PM.,0,English
Can we reschedule the meeting?,0,English
How was your day?,0,English
How was your day?,0,English
Looking for addy. Can you help?,1,English
What are you doing?,0,English
How was your day?,0,English
I'll call you later.,0,English
I'll call you later.,0,English
"Bro, any idea where to get toke?",1,English
Let's have coffee sometime.,0,English
Can you arrange some skag?,1,English
Did you finish your homework?,0,English
Looking for high-quality tokers.,1,English
I'll call you later.,0,English
Let's meet tomorrow at 4 PM.,0,English
Have you watched the new movie?,0,English
I need buzzed for tonight.,1,English
How was your day?,0,English
Do you have kush?,1,English
Who's selling black tar near me?,1,English
Can you score me some energy pills?,1,English
Are you coming to the party?,0,English
How was your day?,0,English
Message me,0,English
Can you arrange some focus pills?,1,English
Can we reschedule the meeting?,0,English
Ice,1,English
Disco biscuits,1,English
What are you doing?,0,English
What's the weather like today?,0,English
Looking for high-quality maal.,1,English
Can we reschedule the meeting?,0,English
